category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Camera,₹670,"BIRATTY 1080 Camera with Micro SD Card Slot and Multi Language, 2-inch LCD for All Android Sports and ...",3.1,29 Ratings & 7 Reviews,66% off,"₹1,999",Effective Pixels: 16 MPHDNA,0,2019-08-14 21:17:33.761719
Camera,₹639,Teconica Action Camera Go Pro Style High Resolution 1080p Full HD Action Camera Sports and Action Came...,3,266 Ratings & 58 Reviews,57% off,"₹1,499",Effective Pixels: 12 MPHDN/A,0,2019-08-14 21:17:33.761719
Camera,"₹4,099",Fujifilm Instax Mini 9 Flamingo Pink Instant Camera,4,7 Ratings & 0 Reviews,25% off,"₹5,530",0,1,2019-08-14 21:17:33.765708
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",Instant CameraPolaroidInstaxCompany Warranty,0,2019-08-14 21:17:33.765708
Camera,"₹4,799",Yi 2K Sports and Action Camera,3.9,132 Ratings & 40 Reviews,12% off,"₹5,499","Live Streaming, 155 ultra-wide angle lens, 76.6gm - Small but sturdyEffective Pixels: 16 MPFull HD1 Year Warranty",1,2019-08-14 21:17:33.769750
Camera,"₹30,490",Dji Osmo Pocket Sports and Action Camera,4.6,84 Ratings & 15 Reviews,10% off,"₹33,999","4K/60fps, Light and Portable, Lossless Stability, Intelligent ShootingEffective Pixels: 12 MP4K Ultra HD1 Year",1,2019-08-14 21:17:33.773745
Camera,"₹4,099",Fujifilm Instax Mini 9 Ice Blue Instant Camera,4.5,37 Ratings & 2 Reviews,25% off,"₹5,530",0,1,2019-08-14 21:17:33.777744
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",0,0,2019-08-14 21:17:33.777744
Camera,"₹1,169",Roboster 4K Ultra HD Wide Angle Wifi Outdoor Under Water Waterproof Camera with 128 GB Micro SD Card S...,2.9,14 Ratings & 5 Reviews,59% off,"₹2,899",Effective Pixels: 16 MPUltra HDNA,0,2019-08-14 21:17:33.782270
Camera,"₹28,499",Nikon COOLPIX P900,4.4,359 Ratings & 82 Reviews,0,0,Effective Pixels: 16 MPOptical Zoom: 83 | Digital Zoom: 4xAuto FocusDisplay Size: 32 Years Nikon India Warranty and Free Transit insurance,1,2019-08-14 21:17:33.784296
Camera,₹670,ALONZO 1080P Action Camera 2-inch LCD 170 Degree Wide Angle Lens Sports and Action Camera,0,0,77% off,"₹2,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:33.784296
Camera,"₹17,091",dji Osmo Sports and Action Camera,4.1,123 Ratings & 29 Reviews,31% off,"₹24,990",Effective Pixels: 12 MP4k1,1,2019-08-14 21:17:33.788446
Camera,"₹3,099",Voltegic Voltegic-Sports Action Cam BLK /- 7005 ™ HD Mini MD8 MD80 Camera Wireless IP Wifi Dv Dvr Vide...,0,0,48% off,"₹5,999",Effective Pixels: 3 MPHDVoltegic® 1 year Replacement Warrenty,0,2019-08-14 21:17:33.788446
Camera,"₹1,209","BT 1080p Waterproof Digital With accessories with led screen(memory card ) sports action camera pro ,u...",0,0,86% off,"₹8,888",Effective Pixels: 6 MP1920*1080DO NOT EXPOSE HIGHT TEMPERATURE,0,2019-08-14 21:17:33.792694
Camera,₹749,Lizzie Action Shot Under W Sports and Action Camera,3.2,43 Ratings & 11 Reviews,42% off,"₹1,299",Effective Pixels: 12 MPHD10 Days Replacements  Only,1,2019-08-14 21:17:33.795572
Camera,"₹4,099",Fujifilm Mini 9 Ice Blue Instant Camera,4.5,62 Ratings & 6 Reviews,25% off,"₹5,530",0,1,2019-08-14 21:17:33.795572
Camera,₹890,Spring Jump sports camera 1080p Full HD 12MP CMOS H.264 Sport Action Camera Sports and Action Camera,0,0,77% off,"₹3,999",Effective Pixels: 12 MPHDreplacement,0,2019-08-14 21:17:33.799703
Camera,"₹3,899",SJCAM SJ 4000 Air 4K Full HD WiFi 30M Waterproof Sports Action Camera Waterproof DV Camcorder 16MP Spo...,3.8,48 Ratings & 5 Reviews,44% off,"₹7,000","Effective Pixels: 16 MP4K@30FPS/2K@30FPS Videos, 16MP high definition photo by 170 degree adjustable wide-angel3 Months replacement warranty for Defects. No Breakage Warranty",1,2019-08-14 21:17:33.799703
Camera,"₹1,18,999",Nikon D500 DSLR Camera (Body only),4.8,32 Ratings & 11 Reviews,13% off,"₹1,36,950",Effective Pixels: 20.9 MPSensor Type: CMOSWiFi Available4K (UHD) at 30p + Time Lapse2 Years Warranty,1,2019-08-14 21:17:33.803697
