category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Desktop PCs,"₹27,300",Reo RL312 Mini Tower with Core i5 (2400) 8 GB RAM 1 TB Hard Disk 2 GB   Graphics Memory,0,0,0,0,1,2019-08-14 11:58:07.369968
Desktop PCs,"₹19,890",iball PCDC4 Mid Tower with Intel Core i3 8 GB RAM 1000 GB Hard Disk 120 GB SSD Capacity N/A GB   Graphics Memory,0,0,13% off,"₹22,999",0,2019-08-14 11:58:07.369968
Desktop PCs,"₹5,799",Punta PUNTAAU225 Mini Tower with Core2Duo 4 GB RAM 250 GB Hard Disk .512 GB   Graphics Memory,3.1,(21),55% off,"₹12,999",0,2019-08-14 11:58:07.375190
Desktop PCs,"₹5,700",Electrobot Tower PC Assembled Computer Full Tower with Intel Core 2 Duo E7500 4 GB RAM 160 GB Hard Disk,0,0,4% off,"₹5,999",0,2019-08-14 11:58:07.376221
Desktop PCs,"₹6,790",Wintech WTPC2500 with Intel 2 GB RAM 500 GB Hard Disk,0,0,54% off,"₹14,799",0,2019-08-14 11:58:07.376221
Desktop PCs,"₹7,695",sr it solution cpu106 with cour 2 duo 4 GB RAM 320 GB Hard Disk 512mb GB   Graphics Memory,0,0,26% off,"₹10,500",0,2019-08-14 11:58:07.376221
Desktop PCs,"₹7,500",sr it solution cpu103 with dual cour 2 GB RAM 500 GB Hard Disk 512mb GB   Graphics Memory,0,0,26% off,"₹10,250",0,2019-08-14 11:58:07.380360
Desktop PCs,"₹45,000",ZOONIS Core i5 7th Gen Mid Tower with CORE I5 7TH GEN 8 GB RAM 1 TB Hard Disk 4GB GB   Graphics Memory,0,0,2% off,"₹45,999",0,2019-08-14 11:58:07.380360
Desktop PCs,"₹2,89,990",Asus ROG (GL12CX-IN015T) Full Tower with Core i9 (9900K) 32 GB RAM 2 TB Hard Disk 512 GB SSD Capacity 11 GB   Graphics Memory,0,0,15% off,"₹3,41,990",1,2019-08-14 11:58:16.149435
Desktop PCs,"₹29,990",punta - (Core i7/4 GB DDR3/500 GB/Windows 10 Pro/1 GB),0,0,25% off,"₹39,999",0,2019-08-14 11:58:16.150466
Desktop PCs,"₹20,999",ZOONIS P610il with Intel core i5 8 GB RAM 1 TB Hard Disk 2 GB GB   Graphics Memory,2.6,(12),25% off,"₹27,999",0,2019-08-14 11:58:16.150466
Desktop PCs,"₹7,999",sr it solution cpu25 with cour 2 duo 4 GB RAM 500 GB Hard Disk 512mb GB   Graphics Memory,0,0,25% off,"₹10,795",0,2019-08-14 11:58:16.154654
Desktop PCs,"₹20,499",SYNTRONIC S53812A32 with Core i3 3220 4 GB RAM 2 TB Hard Disk 2 GB   Graphics Memory,0,0,18% off,"₹24,999",1,2019-08-14 11:58:16.155307
Desktop PCs,"₹13,999",Foxin FFVFFI5Ser with I5 8 GB RAM 1 TB Hard Disk 1 GB   Graphics Memory,0,0,53% off,"₹30,000",0,2019-08-14 11:58:16.156304
Desktop PCs,"₹1,99,990",Asus ROG (GL12CX-IN016T) Full Tower with Core i7 (9700K) 16 GB RAM 1 TB Hard Disk 256 GB SSD Capacity 8 GB   Graphics Memory,0,0,14% off,"₹2,33,990",1,2019-08-14 11:58:16.156304
Desktop PCs,"₹5,500","Artek X96 Mini PC Android 8.1 (4GB DDR4+64GB - Android v4.4 (KitKat), Cortex, Amlogic S905X2, 4 GB DDR3, 64 GB Flash 4 Mini PC",0,0,31% off,"₹7,999",0,2019-08-14 11:58:16.156304
Desktop PCs,"₹14,999",Lenovo - (Core i3 (6th Gen)/4 GB DDR4/1 TB/Windows 10 Home),2.1,(7),41% off,"₹25,437",0,2019-08-14 11:58:16.160343
Desktop PCs,"₹21,999",ZOONIS ZD3D500 with Intel G2010 Dual Core 4 GB RAM 500 GB Hard Disk 2 GB   Graphics Memory,0,0,15% off,"₹25,999",0,2019-08-14 11:58:16.160343
Desktop PCs,"₹11,999",zoonis Z10NS117 Mid Tower with CORE 2 DUO 2 RAM 1 TB Hard Disk MB GB   Graphics Memory,0,0,7% off,"₹12,999",0,2019-08-14 11:58:16.164338
Desktop PCs,"₹15,499",SYNTRONIC S53812A4 with Core i5 2400 4 GB RAM 1 TB Hard Disk,0,0,18% off,"₹18,999",1,2019-08-14 11:58:16.164814
Desktop PCs,"₹9,599",zoonis Z10NS119 Mid Tower with CORE 2 DUO 4 RAM 1 TB Hard Disk MB GB   Graphics Memory,0,0,16% off,"₹11,500",0,2019-08-14 11:58:16.165846
Desktop PCs,"₹7,950",cpu inc2d500 with core 2 duo 4 GB RAM 500 GB Hard Disk 512 GB   Graphics Memory,0,0,24% off,"₹10,550",0,2019-08-14 11:58:16.165846
Desktop PCs,"₹15,999",zoonis I3 1ST GEN Ultra Tower with 530 4 GB RAM 500 GB Hard Disk 1.5GB GB   Graphics Memory,0,0,15% off,"₹18,999",0,2019-08-14 11:58:16.165846
Desktop PCs,"₹17,999",zoonis Z10NS127 Mid Tower with CORE i3 2nd gen 8 RAM 1 TB Hard Disk GB GB   Graphics Memory,0,0,10% off,"₹19,999",0,2019-08-14 11:58:16.170387
Desktop PCs,"₹6,999",Zoonis Z10NSDVD101 Mid Tower with CORE 2 DUO 2 RAM 160 GB Hard Disk MB GB   Graphics Memory,0,0,23% off,"₹9,199",0,2019-08-14 11:58:16.171383
Desktop PCs,"₹1,79,990",Asus ROG (GL12CX-IN005T) Full Tower with Core i7 (9700K) 16 GB RAM 1 TB Hard Disk 512 GB SSD Capacity 8 GB   Graphics Memory,0,0,14% off,"₹2,09,990",1,2019-08-14 11:58:16.171383
Desktop PCs,"₹26,999",zoonis Z10NS134 Mid Tower with CORE i5 4th gen 4 RAM 500 GB Hard Disk GB GB   Graphics Memory,0,0,0,0,0,2019-08-14 11:58:16.173179
Desktop PCs,"₹23,365",HP - (Celeron Dual Core/4 GB DDR3/1 TB/Free DOS/1 GB),4.2,(219),4% off,"₹24,350",0,2019-08-14 11:58:16.174507
Desktop PCs,"₹2,49,990",Asus ROG (G21CX-IN001T) Full Tower with Core i9 (9900K) 32 GB RAM 2 TB Hard Disk 512 GB SSD Capacity 8 GB   Graphics Memory,0,0,13% off,"₹2,89,990",1,2019-08-14 11:58:16.175503
Desktop PCs,"₹1,14,990",Asus ROG (GL10CS-IN042T) Full Tower with Core i7 (9700K) 8 GB RAM 256 GB SSD Capacity 6 GB   Graphics Memory,0,0,16% off,"₹1,37,990",1,2019-08-14 11:58:16.175503
Desktop PCs,"₹7,950",cpu c2d500 with core 2 duo 4 GB RAM 500 GB Hard Disk 512 mb GB   Graphics Memory,0,0,47% off,"₹15,000",0,2019-08-14 11:58:16.179542
Desktop PCs,"₹23,990",Lenovo - (Pentium Quad Core/4 GB DDR3/1 TB/Free DOS),3.8,(130),17% off,"₹28,990",1,2019-08-14 11:58:16.179542
Desktop PCs,"₹7,799",sr it solution cpu41 with cour 2 duo 4 GB RAM 500 GB Hard Disk 512mb GB   Graphics Memory,0,0,24% off,"₹10,395",0,2019-08-14 11:58:16.181451
Desktop PCs,"₹59,990",HP - (Core i5/4 GB DDR4/1 TB/Windows 10 Home),0,0,10% off,"₹66,666",1,2019-08-14 11:58:16.182448
Desktop PCs,"₹89,990",Asus ROG (GL10CS-IN043T) Full Tower with Core i7 (9700K) 8 GB RAM 256 GB SSD Capacity 6 GB   Graphics Memory,0,0,26% off,"₹1,22,990",1,2019-08-14 11:58:16.182448
Desktop PCs,"₹20,499",SYNTRONIC S53812A8 with Core i5 3570 8 GB RAM 2 TB Hard Disk,0,0,14% off,"₹23,999",1,2019-08-14 11:58:16.182448
Desktop PCs,"₹78,990",HP - (Core i5 (8th Gen)/8 GB DDR4/1 TB/Windows 10 Home/4 GB GDDR5),0,0,9% off,"₹87,182",1,2019-08-14 11:58:16.186698
Desktop PCs,"₹7,499",Zoonis Z10NSDVD105 Mid Tower with CORE 2 DUO 2 RAM 250 GB Hard Disk MB GB   Graphics Memory,0,0,25% off,"₹9,999",0,2019-08-14 11:58:16.187695
Desktop PCs,"₹21,999",zoonis Z10NS137 Mid Tower with CORE i5 2nd gen 8 RAM 1 TB Hard Disk GB GB   Graphics Memory,0,0,15% off,"₹25,999",0,2019-08-14 11:58:16.188692
Desktop PCs,"₹7,599",zoonis Z10NS113 Mid Tower with CORE 2 DUO 2 RAM 500 GB Hard Disk MB GB   Graphics Memory,0,0,32% off,"₹11,200",0,2019-08-14 11:58:16.189782
Desktop PCs,"₹26,999",zoonis Z10NS125 Mid Tower with CORE i3 6th gen 8 RAM 500 GB Hard Disk GB GB   Graphics Memory,0,0,15% off,"₹32,000",0,2019-08-14 11:58:16.191325
Desktop PCs,"₹19,999",zoonis Z10NS136 Mid Tower with CORE i5 1st gen 8 RAM 1 TB Hard Disk GB GB   Graphics Memory,0,0,20% off,"₹24,999",0,2019-08-14 11:58:16.192322
Desktop PCs,"₹10,999",Zoonis Z10NSDVD119 Mid Tower with CORE 2 DUO 4 RAM 1 TB Hard Disk MB GB   Graphics Memory,0,0,31% off,"₹15,999",0,2019-08-14 11:58:16.192322
Desktop PCs,"₹6,999",zoonis Z10NS105 Mid Tower with CORE 2 DUO 2 RAM 250 GB Hard Disk MB GB   Graphics Memory,0,0,22% off,"₹8,999",0,2019-08-14 11:58:16.192322
Desktop PCs,"₹27,990",Lenovo - (Pentium Quad Core/4 GB DDR3/1 TB/Windows 10 Home),3.9,(26),3% off,"₹28,999",1,2019-08-14 11:58:16.196361
Desktop PCs,"₹7,999",Zoonis Z10NSDVD114 Mid Tower with CORE 2 DUO 2 RAM 500 GB Hard Disk MB GB   Graphics Memory,0,0,33% off,"₹11,999",0,2019-08-14 11:58:16.196361
Desktop PCs,"₹16,499",iBall - (Core 2 Duo/4 GB DDR3/500 GB/Free DOS/512 MB),3.8,(13),44% off,"₹29,990",0,2019-08-14 11:58:16.196361
Desktop PCs,"₹2,01,990",Asus ROG (G21CX-IN006T) Full Tower with Core i7 (9700K) 32 GB RAM 2 TB Hard Disk 512 GB SSD Capacity 8 GB   Graphics Memory,0,0,17% off,"₹2,45,990",1,2019-08-14 11:58:16.200590
