category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Mobile,"₹12,999","Realme 3 Pro (Nitro Blue, 64 GB)",4.5,"1,67,825 Ratings & 21,886 Reviews",18% off,"₹15,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorDual Nano SIM Slot and Memory Card SlotVOOC Flash Charge 3.0Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.363862
Mobile,"₹7,999","Infinix Hot 7 (Midnight Black, 64 GB)",4.2,"7,420 Ratings & 1,068 Reviews",20% off,"₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.72 cm (6.19 inch) HD+ Display13MP + 2MP | 13MP + 2MP Dual Front Camera4000 mAh Li-ion Polymer BatteryHelio P25 (MTK6757CD) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.365856
Mobile,"₹4,799","Redmi Go (Blue, 16 GB)",4.3,"1,04,586 Ratings & 8,684 Reviews",20% off,"₹5,999",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 5MP Front Camera3000 mAh Li Polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.366855
Mobile,"₹5,999","Redmi 7A (Matte Blue, 16 GB)",4.5,"45,633 Ratings & 3,106 Reviews",7% off,"₹6,499",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP Rear Camera | 5MP Front Camera4000 mAh Li-Polymer BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.368849
Mobile,₹999,Niamia Cad V,3.9,8 Ratings & 0 Reviews,41% off,"₹1,699",32 MB RAM | 32 MB ROM |4.57 cm (1.8 inch) Display0.08MP Rear Camera1000 mAh Battery10 DAYS REPLACEMENT WARRANTY,0,2019-08-14 22:38:14.369845
Mobile,"₹14,999","Realme 3 Pro (Nitro Blue, 64 GB)",4.5,"74,098 Ratings & 9,295 Reviews",16% off,"₹17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorDual Nano SIM Slot and Memory Card SlotVOOC Flash Charge 3.0Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.370844
Mobile,₹759,Lava A1,4.1,"3,080 Ratings & 317 Reviews",24% off,₹999,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB4.5 cm (1.77 inch) Display0.3MP Rear Camera800 mAh Battery1 year replacement guarantee for phone & 6 months replacement guarantee for accessories in box (T&C apply),1,2019-08-14 22:38:14.372840
Mobile,₹759,Lava A1,4.1,"28,597 Ratings & 3,478 Reviews",24% off,₹999,24 MB RAM | 24 MB ROM | Expandable Upto 32 GB4.5 cm (1.77 inch) Quarter QVGA Display0.3MP Rear Camera800 mAh Battery1 year replacement guarantee for phone & 6 months replacement guarantee for accessories in box (T&C apply),1,2019-08-14 22:38:14.373836
Mobile,₹699,GreenBerry Play,0,0,22% off,₹899,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB4.57 cm (1.8 inch) Display2MP Rear Camera1000 mAh Battery1 Year,0,2019-08-14 22:38:14.374832
Mobile,"₹15,999","Realme 3 Pro (Nitro Blue, 128 GB)",4.5,"74,098 Ratings & 9,295 Reviews",20% off,"₹19,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorDual Nano SIM Slot and Memory Card SlotVOOC Flash Charge 3.0Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.375832
Mobile,"₹8,999","Honor 8C (Black, 32 GB)",4.3,"10,480 Ratings & 930 Reviews",30% off,"₹12,999",4 GB RAM | 32 GB ROM |15.9 cm (6.26 inch) Display13MP + 2MP | 8MP Front Camera4000 mAh Battery1 Year Manufacturing Warranty,1,2019-08-14 22:38:14.377825
Mobile,₹759,Lava A1,4.1,"28,597 Ratings & 3,478 Reviews",24% off,₹999,24 MB RAM | 24 MB ROM | Expandable Upto 32 GB4.5 cm (1.77 inch) Quarter QVGA Display0.3MP Rear Camera800 mAh Battery1 year replacement guarantee for phone & 6 months replacement guarantee for accessories in box (T&C apply),1,2019-08-14 22:38:14.378822
Mobile,"₹4,499","Redmi Go (Black, 8 GB)",4.3,"1,04,586 Ratings & 8,684 Reviews",25% off,"₹5,999",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 5MP Front Camera3000 mAh Li Polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.379819
Mobile,"₹7,990","OPPO A3s (Purple, 16 GB)",4.3,"9,995 Ratings & 1,003 Reviews",33% off,"₹11,990",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 8MP Front Camera4230 mAh BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:22.716066
Mobile,₹699,GreenBerry 3310,3.1,7 Ratings & 0 Reviews,53% off,"₹1,499",32 MB RAM | 32 MB ROM |4.57 cm (1.8 inch) NA Display2MP Rear Camera | 0MP Front Camera1000 mAh Battery6 Months,0,2019-08-14 22:38:22.717100
Mobile,"₹11,999","Honor 8x (Black, 64 GB)",4.4,"2,006 Ratings & 213 Reviews",33% off,"₹17,999",4 GB RAM | 64 GB ROM |16.51 cm (6.5 inch) FHD+ Display20MP + 2MP | 16MP Front Camera3750 mAh BatteryKirin 710 Processor1 year manufactuer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1,2019-08-14 22:38:22.718103
Mobile,"₹1,625",Samsung Guru Music 2,4.3,"1,08,369 Ratings & 11,882 Reviews",7% off,"₹1,760",NA ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP Front Camera800 mAh Li-Ion BatteryNA 0 Single Core 208MHz Processor1 Year Manufacturer Warranty,1,2019-08-14 22:38:22.720095
Mobile,"₹13,898","Honor 8X (Red, 64 GB)",4.4,"2,006 Ratings & 213 Reviews",22% off,"₹17,999",4 GB RAM | 64 GB ROM |16.51 cm (6.5 inch) Display20MP Rear Camera3750 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1,2019-08-14 22:38:22.721095
Mobile,₹999,Niamia Cad V,3.9,8 Ratings & 0 Reviews,41% off,"₹1,699",32 MB RAM | 32 MB ROM |4.57 cm (1.8 inch) Display0.08MP Rear Camera1000 mAh Battery10 DAYS REPLACEMENT WARRANTY,0,2019-08-14 22:38:22.722089
Mobile,"₹13,990","Vivo Y15 (Aqua Blue, 64 GB)",4.4,"4,335 Ratings & 347 Reviews",12% off,"₹15,990","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.13 cm (6.35 inch) HD+ Display13MP + 2, 8MP | 16MP Front Camera5000 mAh BatteryMediaTek Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",1,2019-08-14 22:38:22.724086
Mobile,"₹1,399",Lava GEM,4.2,"2,751 Ratings & 338 Reviews",0,0,512 MB RAM | 512 MB ROM | Expandable Upto 32 GB7.11 cm (2.8 inch) QVGA Display1.3MP Rear Camera1750 mAh BatteryNA Processor1 Year Manufacturer Warranty,1,2019-08-14 22:38:22.725083
Mobile,"₹17,990","OPPO F11 (Marble Green, 128 GB)",4.5,155 Ratings & 11 Reviews,25% off,"₹23,990",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) Display48MP + 5MP | 16MP Front Camera4020 mAh BatteryMTK MT6771V (P70) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:22.726082
Mobile,"₹1,100",Samsung Guru 1200,4.3,"95,235 Ratings & 9,744 Reviews",12% off,"₹1,260",NA ROM |3.81 cm (1.5 inch) NA Display800 mAh Battery0 0 0 0 Processor Processor1 Year for Mobile & 6 Months for Accessories,1,2019-08-14 22:38:22.727075
Mobile,"₹1,049",Karbonn K99 Rock,4,484 Ratings & 48 Reviews,37% off,"₹1,690",32 MB RAM | 32 MB ROM |7.11 cm (2.8 inch) Display0.08MP Rear Camera3000 mAh Battery1 Year Manufacturer Warranty,1,2019-08-14 22:38:22.729074
Mobile,"₹3,399",Nokia 3310 DS,3.7,"19,824 Ratings & 2,500 Reviews",5% off,"₹3,599",16 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display2MP Rear Camera1200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,0,2019-08-14 22:38:22.730030
Mobile,"₹11,949","Redmi Y3 (Prime Black, 64 GB)",4.4,860 Ratings & 66 Reviews,14% off,"₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.9 cm (6.26 inch) HD+ Display12MP + 2MP | 32MP Front Camera4000 mAh BatteryQualcomm Snapdragon 632 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1,2019-08-14 22:38:22.731064
Mobile,"₹12,999","Redmi Note 6 Pro (Blue, 64 GB)",4.5,"1,03,369 Ratings & 9,458 Reviews",27% off,"₹17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.9 cm (6.26 inch) FHD+ Display12MP + 5MP | 20MP + 2MP Dual Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:22.732062
Mobile,"₹13,999","Honor 8X (Blue, 64 GB)",4.4,"3,170 Ratings & 337 Reviews",30% off,"₹19,999",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.51 cm (6.5 inch) FHD+ Display20MP + 2MP | 16MP Front Camera3750 mAh Battery2.2 GHz Kirin 710 Octa Core Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1,2019-08-14 22:38:22.734019
Mobile,₹699,GreenBerry Play,0,0,22% off,₹899,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB4.57 cm (1.8 inch) Display2MP Rear Camera1000 mAh Battery1 Year,0,2019-08-14 22:38:22.735056
Mobile,"₹9,999","Honor 9N (Sapphire Blue, 64 GB)",4.3,"1,89,336 Ratings & 18,720 Reviews",37% off,"₹15,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB14.83 cm (5.84 inches) Display13MP + 2MP | 16MP Front Camera3000 mAh BatteryKirin 659 Octa Core Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",1,2019-08-14 22:38:22.736052
